Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer
GPA.3350-2709-3631-91343,2020-09-01,1599000801,Refund,HWCRR,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,SAR,4.69,-0.70,-5.39,ارياض,,,SA
GPA.3378-9890-3749-14421,2020-09-01,1599003753,Charged,on7xelte,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,39.00,,,,TH
GPA.3346-3303-6745-40299,2020-09-03,1599097568,Charged,1906,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,39.00,,,,TH
GPA.3385-1468-1205-19157,2020-09-03,1599129873,Refund,j2lte,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,-39.00,,,,TH
GPA.3366-6041-5508-34200,2020-09-03,1599139214,Refund,I619,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,-39.00,,,10510,TH
GPA.3310-7098-9138-78980,2020-09-03,1599148658,Charged,hero2lte,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,39.00,ตะพานหิน,พิจิตร,66110,TH
GPA.3336-3427-0731-60329,2020-09-03,1599150601,Refund,a11q,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,-39.00,,,,TH
GPA.3371-3546-0382-72487,2020-09-03,1599154566,Charged,1906,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,39.00,,,,TH
GPA.3359-3344-0048-91198,2020-09-04,1599178309,Charged,d2s,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,IDR,"18,000.00","1,800.00","19,800.00",,,15311,ID
GPA.3342-4452-0035-11602,2020-09-04,1599212462,Charged,crownlte,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,ILS,4.30,0.00,4.30,Nesher,,36730,IL
GPA.3346-3303-6745-40299,2020-09-04,1599239026,Refund,1906,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,-39.00,,,,TH
GPA.3322-1530-7960-25078,2020-09-04,1599248872,Charged,j6primelte,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,39.00,,,,TH
GPA.3378-9890-3749-14421,2020-09-04,1599263554,Refund,on7xelte,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,-39.00,,,,TH
GPA.3327-0922-9564-67012,2020-09-05,1599299633,Charged,CPH1823,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,39.00,,,,TH
GPA.3349-6978-8777-53213,2020-09-05,1599340575,Charged,HWSTK-HF,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,39.00,,,40000,TH
GPA.3310-7098-9138-78980,2020-09-06,1599408458,Refund,hero2lte,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,-39.00,ตะพานหิน,พิจิตร,66110,TH
GPA.3371-3546-0382-72487,2020-09-06,1599414366,Refund,1906,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,-39.00,,,,TH
GPA.3359-3344-0048-91198,2020-09-07,1599438109,Refund,d2s,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,IDR,"18,000.00","-1,800.00","-19,800.00",,,15311,ID
GPA.3342-4452-0035-11602,2020-09-07,1599472263,Refund,crownlte,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,ILS,4.30,0.00,-4.30,Nesher,,36730,IL
GPA.3307-8514-2122-38013,2020-09-07,1599493302,Charged,hero2lte,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,39.00,ตะพานหิน,พิจิตร,66110,TH
GPA.3322-1530-7960-25078,2020-09-07,1599508672,Refund,j6primelte,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,-39.00,,,,TH
GPA.3327-0922-9564-67012,2020-09-08,1599559434,Refund,CPH1823,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,-39.00,,,,TH
GPA.3349-6978-8777-53213,2020-09-08,1599600375,Refund,HWSTK-HF,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,-39.00,,,40000,TH
GPA.3338-5674-0160-37574,2020-09-09,1599638191,Charged,1816,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,MYR,5.18,0.31,5.49,,,,MY
GPA.3382-6859-1421-80759,2020-09-09,1599680473,Charged,a10,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,39.00,,,39000,TH
GPA.3307-8514-2122-38013,2020-09-10,1599753102,Refund,hero2lte,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,-39.00,ตะพานหิน,พิจิตร,66110,TH
GPA.3338-5674-0160-37574,2020-09-12,1599897992,Refund,1816,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,MYR,5.18,-0.31,-5.49,,,,MY
GPA.3382-6859-1421-80759,2020-09-12,1599940273,Refund,a10,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,-39.00,,,39000,TH
GPA.3301-0287-5725-22715,2020-09-18,1600425470,Charged,RMX2001L1,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,39.00,,,57000,TH
GPA.3322-2141-4228-57419,2020-09-20,1600592935,Charged,crownlte,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,EUR,1.03,0.16,1.19,,,,DE
GPA.3355-9674-7285-78876,2020-09-21,1600685026,Charged,RMX2001L1,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,39.00,,,94190,TH
GPA.3301-0287-5725-22715,2020-09-21,1600685270,Refund,RMX2001L1,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,-39.00,,,57000,TH
GPA.3322-2141-4228-57419,2020-09-23,1600852735,Refund,crownlte,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,EUR,1.03,-0.16,-1.19,,,,DE
GPA.3355-9674-7285-78876,2020-09-24,1600944826,Refund,RMX2001L1,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,-39.00,,,94190,TH
GPA.3300-4882-2177-54653,2020-09-25,1601005964,Charged,crownqltesq,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,USD,1.49,0.00,1.49,STONE MOUNTAIN,GA,30088,US
GPA.3324-2014-8588-98327,2020-09-26,1601143888,Charged,a10,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,39.00,,,13170,TH
GPA.3300-4882-2177-54653,2020-09-28,1601265765,Refund,crownqltesq,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,USD,1.49,0.00,-1.49,STONE MOUNTAIN,GA,30088,US
GPA.3324-2014-8588-98327,2020-09-29,1601403688,Refund,a10,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,-39.00,,,13170,TH
